CUSTOMER,Pin-pkg,Prod_ID,Bond ID,TA/TB,entity,Lot amount,,
ISSI-VG,DFN-08YD2A,008YDVG005,ABU008YD2001A,TB-I,BBA14,2,,
ISSI-VG,DFN-08YD2A,008YDVG005,ABU008YD2001A,TB-I,BBA27,2,,
ISSI-VG,DFN-08YD2A,008YDVG005,ABU008YD2001A,TB-P,BBD01,5,,
ISSI-VG,DFN-08YD2A,008YDVG005,ABU008YD2001A,TB-P,BBD41,1,,
ISSI-VG,DFN-08YD2A,008YDVG005,ABU008YD2001A,TB-P,BBD81,1,,
ISSI-VG,DFN-08YD2A,008YDVG010,ABU008YD2002A,TB-U,BB827,1,,
ISSI-VG,DFN-08YD2A,008YDVG010,ABU008YD2002A,TB-U,BBJ02,1,,
ISSI-VG,DFN-08YM2D,008YMVG003,ABU008YM2002A,TB-P,BBD67,2,,
ISSI-VG,DFN-08YM2D,008YMVG003,ABU008YM2002A,TB-U,BB823,4,,
ISSI-VG,DFN-08YM2D,008YMVG003,ABU008YM2002A,TB-U,BB826,3,,
ISSI-VG,DFN-08YM2D,008YMVG003,ABU008YM2002A,TB-U,BB844,5,,
ISSI-VG,DFN-08YM2D,008YMVG003,ABU008YM2002A,TB-U,BB887,4,,
ISSI-VG,DFN-08YM2D,008YMVG003,ABU008YM2002A,TB-U,BB896,4,,
ISSI-VG,DFN-08YM2D,008YMVG003,ABU008YM2002A,TB-U,BB903,3,,
ISSI-VG,DFN-08YM2D,008YMVG003,ABU008YM2002A,TB-U,BB938,4,,
ISSI-VG,MBGA24J4U,024MAVG011,ABU024MA6010A,TA-2,BB734,1,,
ISSI-VG,MBGA24J4U,024MAVG011,ABU024MA6010A,TA-2,BBB14,1,,
ISSI-VG,MBGA24J4U,024MAVG011,ABU024MA6010A,TA-2,BBB30,1,,
ISSI-VG,STBGA24J4U,024XJVG009,ABU024XJ6003A,TA-3,BB211,1,,
ISSI-VG,STBGA24J4U,024XJVG009,ABU024XJ6003A,TA-3,BB231,3,,
LAPIS,TSOP1-48A2,048TVOK056,AOK048TV1029A,TA-3,BB213,2,,
LAPIS,TSOP1-48A2,048TVOK056,AOK048TV1029A,TA-3,BB220,2,,
LAPIS,TSOP1-48A2,048TVOK056,AOK048TV1029A,TA-3,BB232,1,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TA-2,BB715,2,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TA-2,BB718,2,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TA-2,BB720,1,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TA-2,BB721,1,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TA-2,BB729,2,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TA-2,BB730,1,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TA-2,BB735,1,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TA-2,BB738,1,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TA-2,BB749,1,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TA-2,BB755,2,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TA-2,BB761,1,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TA-2,BB769,1,,
